,city,city_details,experience,private_experience,alter_experience,sex,age,marital_status,has_children,allow_time_request,experimentGroup,working_with.family,working_with.adults,working_with.lgbt,working_with.believer,working_with.fem,working_with.foreigner,working_with.elderly,education_count,competences_count,methods_count,expertise_count,features_of_work_count,price
374,Москва,м. Достоевская,8,8,3,F,40.0,,,False,False,False,True,False,False,False,False,False,4,4,2,5,4,2850
375,Санкт-Петербург,м. Сенная площадь,4,0,0,F,33.0,married,False,True,False,True,True,False,False,False,False,False,4,8,3,5,10,2000
376,Москва,м. Сретенский бульвар,3,5,1,M,29.0,married,True,True,False,False,True,False,False,False,False,False,3,12,2,3,14,3000
377,Москва,м. Таганская,3,0,0,F,,married,,True,False,False,True,True,False,False,False,False,10,4,2,1,14,4000
378,Санкт-Петербург,м. Технологический институт,5,4,1,F,49.0,married,True,True,False,False,True,False,False,False,False,False,4,3,1,4,11,4000
379,Москва,,5,0,0,F,54.0,married,True,True,False,True,True,False,False,False,False,True,4,4,2,0,10,5500
380,Москва,м. Чистые пруды / Тургеневская / Сретенский бульвар / Красные ворота,30,30,3,F,54.0,married,True,True,False,True,True,True,False,False,False,True,15,18,1,5,12,5000
381,Москва,м. Чистые пруды,13,0,0,M,35.0,married,False,True,False,False,True,False,False,False,False,False,6,4,2,5,13,4000
382,Москва,,14,14,1,F,35.0,married,True,True,False,False,True,False,False,False,False,False,19,4,4,0,10,3000
383,Москва,м. Баррикадная,13,0,0,F,39.0,married,True,True,False,False,True,True,False,False,False,False,7,4,3,2,14,3800
384,Санкт-Петербург,м. Василеостровская / Спортивная,12,0,0,F,33.0,married,False,True,False,False,True,False,False,False,False,False,3,22,1,6,7,3500
385,Москва,,4,0,0,F,32.0,married,False,True,False,False,True,True,False,False,False,False,12,4,3,1,10,5000
386,Санкт-Петербург,м. Маяковская,14,0,0,F,36.0,married,True,True,False,False,True,False,False,False,False,False,3,4,1,1,7,3500
387,Москва,м. Бауманская,6,5,3,F,36.0,married,False,False,False,False,True,False,False,False,False,False,5,4,3,2,12,4000
388,Кострома,,18,6,2,F,39.0,single,False,True,True,False,True,True,False,False,False,False,4,7,1,3,7,2900
389,Санкт-Петербург,м. Невский проспект,5,0,0,F,30.0,married,False,True,False,False,True,False,False,False,False,False,8,4,2,5,13,3750
390,Москва,м. Чистые Пруды / Красные ворота,3,3,1,F,33.0,,,True,False,False,True,False,False,False,False,False,3,4,1,2,7,4030
391,Москва,м. Китай-Город,6,6,1,F,31.0,married,False,True,False,False,True,False,False,False,False,False,3,4,1,1,10,3000
392,Санкт-Петербург,,4,3,2,F,26.0,single,False,True,False,False,True,False,False,False,False,False,21,4,1,0,12,4000
393,Москва,м. Чистые пруды / Сретенский бульвар,5,0,0,F,50.0,married,True,True,False,False,True,True,False,False,False,False,10,4,1,3,11,4320
